title;author;isbn13;format;publisher;pages;dimensions;overview
Land Apart: A South African Reader;Various;9780140100044;Paperback;Penguin Group (USA);256;5.08 (w) x 7.74 (h) x 0.56 (d);
Women Writing Africa: The Eastern Region;Amandina Lihamba;9781558615342;Paperback;Feminist Press at CUNY, The;;;
Nobody Ever Said AIDS: Poems and Stories from Southern Africa;Nobantu Rasebotsa;9780795701849;Paperback;NB Publishers;192;5.40 (w) x 8.30 (h) x 0.60 (d);"While numerous texts have dealt with the AIDS pandemic in Africa from the clinical, economic, and sociological to the academic and technical this anthology of poems and short stories connects on a human level and reflects an entire society dealing with the challenges of overcoming AIDS and HIV. Well-known writers such as Achmat Dangor, Dambudzo Marechera, and Sindiwe Magona join 16 new writers selected from the ""Share Your Story about HIV/AIDS"" creative writing competition funded by the Swedish donor foundation, SIDA, and conducted in collaboration with the University of Cape Town. Their intimate stories and poems explore love, sexuality, stigma, and loss, bearing witness to the disease and responding to its silent taboo."
Step into a World: A Global Anthology of the New Black Literature;Kevin Powell;9780471380603;Hardcover;Wiley, John & Sons, Incorporated;496;6.48 (w) x 9.55 (h) x 1.48 (d);"<p>Step Into A World</p> <p>""Kevin Powell is pushing to bring, as he has so brilliantly done before, the voices of his generation: the concerns, the cares, the fears, and the fearlessness. Step into a World is a kaleidoscope into the world not bound by artificial constructs like nation. John Coltrane recorded ‘Giant Steps,’ which is a riff on the sight and sounds in his muse. Powell plays the computer with equal astuteness."" –Nikki Giovanni</p> <p>""Those of us who pay attention were aware that the younger generation of black writers was being smothered by the anointment of talented tenth Divas and Divuses, and their commercial accommodationist ‘Fourth Renaissance. ’This anthology is indeed a breakthrough! It combines the boldness and daring of hip-hop with the intellectual keenness of a Michele Wallace or a Clyde Taylor."" –Ishmael Reed</p> <p>""In a culture where videos, the Internet, and other high-tech communication is being consumed like the latest mind-altering drug, how does great literature grow and survive? These writers will answer that all-important question. This anthology provides a clue, a hint, as to where we might be going. They are resisting all this vacant, empty-minded nothingness. Read them. Listen to them. If you don’t, you do so at your peril."" –Quincy Troupe</p>"
An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New;Werner Sollors;9780814781432;Hardcover;New York University Press;;;
The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection;New Internationalist;9781906523145;Paperback;New Internationalist;214;5.80 (w) x 8.20 (h) x 0.60 (d);"<p><b>The Caine Prize for African Writing</b> is Africa’s leading literary prize and is awarded to a short story by an African writer published in English, whether in Africa or elsewhere. This edition collects the five 2009 shortlisted stories, along with twelve stories written at the Caine Prize Writers’ Workshop, taking place in spring 2009.</p> <p>Previous winners and entrants include Segun Afolabi, Leila Aboulela, Chimamanda Ngozi Adichie, Brian Chikwava, Henrietta Rose-Innes, Mary Watson, and Binyavanga Wainaina.</p> <p>The collection will be released in time for the announcement of the award in July 2009.</p> <p><b>This year's shortlist:</b></p> <p>*&nbsp; <b>Mamle Kabu</b> (Ghana), 'The End of Skill from Dreams,' from <i>Miracles and Jazz</i>, published by Picador Africa, Johannesburg 2008</p> <p>* <b>Parselelo Kantai</b> (Kenya), 'You Wreck Her,' from the <i>St Petersburg Review</i>, NY 2008</p> <p>* <b>Alistair Morgan</b> (South Africa), 'Icebergs,' from <i>The Paris Review</i> no.<br> 183, NY 2008</p> <p>* <b>EC Osondu</b> (Nigeria), 'Waiting,' from <i>Guernicamag.com</i>, October 2008</p> <p>* <b>Mukoma wa Ngugi</b> (Kenya), 'How Kamau wa Mwangi Escaped into Exile,' from <i>Wasafiri</i> No54, Summer 2008, London</p>"
Traditions in World Literature: Literature of Africa, Softcover Student Edition;McGraw-Hill;9780844212029;Paperback;Glencoe/McGraw-Hill;320;7.40 (w) x 9.10 (h) x 0.80 (d);
Love Child;Gcina Mhlophe;9781869140014;Paperback;University Of KwaZulu-Natal Press;124;8.50 (w) x 5.30 (h) x 0.40 (d);<p>Gcina Mhlophe is a poet, playwright, performer and South Africa's favorite storyteller. In this fascinating retrospective collection, she shares her personal journey through the social and political landscapes of the 1980s, with its recollected moments of struggle and transformation along the way. Written in a variety of styles and voices, ranging from anecdotal memory to historical moment to folklore tradition, these simply presented poems and stories are by turns funny, touching, chilling, thought-provoking and absorbing. Love Child is a collection for the new millennium generation. It is valuable not just for the deeply-felt personal and political insights it has to offer, but for the accessible ease with which it manages to capture the seminal moments of black South African history in the preserving amber of the author's personal recollection.</p>
Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing;Jacana Media;9781770091450;Paperback;Jacana Media;228;5.75 (w) x 8.25 (h) x 0.50 (d);"<p>The 2004 winner of the Caine Prize for African Writing, Brian Chikwava's ""Seventh Street Alchemy"" is featured alongside shortlisted stories from 2004, compositions from the Caine Prize's March 2005 Workshop for African Writers, and Charles Mungoshi's previously unpublished ""Letter from a Friend"" in this inspired collection of work from some of Africa's most promising young and new writers.<br> </p>"
Women Writing Africa: The Southern Region: Volume 1;Sheila Meintjes;9781558614062;Library Binding;Feminist Press at CUNY, The;560;6.30 (w) x 9.30 (h) x 1.50 (d);<p>A landmark in scholarship and culture, this volume uncovers the stunning literary legacy of African women, heretofore all but invisible.</p> <p>Beginning with a Sesotho women’s lament song from 1842, this volume brings together poetry, songs, newspaper columns, political petitions, personal letters, and prison diaries, along with little-known works by writers such as Bessie Head, Doris Lessing, Yvonne Vera, Zoë Wicomb, and Nadine Gordimer. Each of the 120 texts in the volume is accompanied by a scholarly note that provides detailed background information, while an introductory essay sets the broader historical stage. Approximately one third of the texts are oral in origin, and few have previously been available in book form.</p>
Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's;ValZrie Orlando;9780739105627;Hardcover;The Rowman & Littlefield Publishing Group Inc;218;0.63 (w) x 6.00 (h) x 9.00 (d);"<p>Female characters who suffer madness and insanity are strikingly prominent in novels by women writers of Africa and the Caribbean. To find out why there are so many ""suffocated hearts and tortured souls"" in this literature, Valerie Orlando, who has long studied Francophone text and culture, here closely reads the work of Aminata Sow Fall, Mariama Bâ, Myrian Warner-Vieyra, and Simone Schwarz-Bart, among others. In these women's novels, Orlando finds, madness is the manifestation of a split identity, and in this study she sets herself the task of interrogating the nature of that identity. Francophone women novelists of Africa and the Caribbean—though they come from countries whose unique experiences of colonialism, revolution, and postcolonial regimes have shaped specific and discrete cultures—express a common search for a meaningful relationship between their experience as women to the history and destiny of their nations. Only when ""woman""' is understood not as an ahistorical object but as a subject whose lived body is entwined with political, cultural, and economic structures, Orlando argues, will insanity finally give way to clarity of being. Interweaving literary citations with theoretical discussion, Suffocated Hearts and Tortured Souls is just as much a masterful explication of profoundly affecting literary work as it is an essential addition to feminist scholarship and theory.</p>"
Less Than One and Double: A Feminist Reading of African Women's Writing;Kenneth W. Harrow;9780325070254;Hardcover;Heinemann;384;;Harrow's provocative book introduces a psychoanalytic dimension to the study of African women's writing. In so doing, he opens up relatively uncharted terrain in African literary studies.
The Rienner Anthology of African Literature;Anthonia C. Kalu;9781588264916;Library Binding;Lynne Rienner Publishers, Inc.;900;6.30 (w) x 9.10 (h) x 1.90 (d);
Oral and Written Expressions of African Cultures;Toyin Falola;9781594606472;Paperback;Carolina Academic Press;264;6.00 (w) x 9.00 (h) x 0.70 (d);"<p>Oral and Written Expressions of African Cultures challenges the traditional view of exotic and atavistic Africa with a balanced examination of the continent's realities and challenges. It shows how oral and written expressions capture the complexity, concerns, dynamism, challenges and ingenuity of African masses. It brings together twelve scholars from different academic backgrounds who draw from the rich repertoire of music, poetry, literature and the media in the continent to unearth the underlying socio-cultural, economic and political factors that shape African societies in the twenty first century. These scholars discuss issues ranging from political manipulations of popular music in Kenya and Argentina, the role of print media in the democratization process in Nigeria, motivations of ""vulgar poetry"" in South Africa, contemporary gender issues in the Islamic Republic of Sudan, the perseverance of aspects of African cultures in Puerto Rico, misrepresentations of Africa in Rene Maran's Batouala, the function of ""lowbrow fiction"" in Apartheid South Africa, female African authors' techniques to counter male dominance, to HIV/AID and the cultural taboos associated with the disease in southern Africa, among others.</p>"
Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection;Monica Arac de Nyeko;9781904456735;Paperback;New Internationalist;214;5.80 (w) x 8.10 (h) x 0.70 (d);<p>The Caine Prize for African Writing is Africa’s leading literary prize and is awarded to a short story by an African writer published in English, whether in Africa or elsewhere. Each year, the full shortlist and twelve other stories are collected and published in one volume.</p> <p>This year’s winner is Monica Arac de Nyeko for <i>Jambula Tree</i>, described as “a witty and touching portrait of a community which is affected forever by a love which blossoms between two adolescents.”</p> <p>Previous winners and entrants include Segun Afolabi, Leila Aboulela, Chimamanda Ngozi Adichie, Brian Chikwava, Mary Watson, and Binyavanga Wainaina.</p>
Up the Down Escalator;Linda Rode;9780795701061;Paperback;NB Publishers;;;
Basali!: Stories by and about Women in Lesotho;K. Limakatso Kendall;9780869809181;Paperback;University of Natal Press;136;5.70 (w) x 7.96 (h) x 0.40 (d);Basali! means 'women' and is one of the most common exclamations in the Sesotho language. Usually uttered by a woman and delivered with a laugh, a shaking of the head, or a clapping of hands, Basali! evokes Basotho women's admiration and wonderment for themselves and each other. These stories in 'Sesotho-ised' English reveal a way of life and a way of perceiving experience that is unique in African literature. The stories offer glimpses of traditional healers, circumcision schools, witches, bride-prices, and extended rural family life. There are families disrupted by migrant labour, women and men brutalised by apartheid, teenagers who violate tradition, and middle-class office-workers whose rural families live by a different click than the one that ticks for them. The focus of each story is the decisions women make, the actions they take to protect and to provide for themselves and their children, and to care for the people they love.
How God Fix Jonah;Lorenz Graham;9781563976988;Hardcover;Boyds Mills Press;160;7.33 (w) x 10.32 (h) x 0.67 (d);"<p>""Utterly delightful"" is how Zora Neal Hurston described this classic book when it was first published in 1946. Long out of print, Lorenz Graham's beautiful collection of Bible stories, told in the idiom of West Africa, is available again in an expanded edition newly illustrated by Ashley Bryan.</p>"
Glass Jars among Trees;Arja Salafranca;9781919931234;Paperback;Jacana Media;188;7.75 (w) x 5.00 (h) x 0.47 (d);This genre-shattering anthology includes writings in a variety of styles by pensioners, prisoners, schoolchildren, drifting teenagers, praise-singers, and even a few poets.<br>
Running Towards Us: New Writing from South Africa;Isabel Balseiro;9780325002118;Paperback;Heinemann;216;5.90 (w) x 9.10 (h) x 0.50 (d);In Running Towards Us, 31 contemporary authors offer literary responses to the end of apartheid, demonstrating what the creative imagination in South Africa has to offer at the turn of the 21st century.
Of Suffocated Hearts And Tortured Souls;Valerie Key Orlando;9780739105634;Paperback;Lexington Books;;;
An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New;Werner Sollors;9780814781449;Paperback;New York University Press;;;
Among the Blacks;Ron Padgett;9780939691029;Paperback;Avenue B;64;5.30 (w) x 7.80 (h) x 0.30 (d);"<br> Fiction. African American Studies. Translated from the French. AMONG THE BLACKS consists of two works: Ron Padgett's translation of Raymond Roussel's early story ""Parmi les noirs,"" first published in 1935 in his book Comment j'ai ecrit certain de mes livres, together with Padgett's memoir focusing upon his own experience among black people. Roussel's story, about a master mariner named White who encounters an African chief named Booltable, is built upon the kind of whimsical and extravagant word play (its first and last sentences are identical except for one letter in one word--""pooltable""/ ""Booltable"") for which Roussel was idolized by the French Surrealists. In contrast, as he writes in his Afterword, Padgett's memoir ""grew out of the nagging need to come to grips with the frustrations of being a white American who had grown up in a racist environment and who, despite his rejections of racism at an early age, had rarely felt unselfconscious in the company of a black person."" ""What he leaves us with is a work that is like the perfectly preserved temple of a cult which has disappeared without a trace, or a complicated set of tools whose use cannot be discovered. But even though we may never be able to 'use' [Roussel's] work in the way he hoped, we can still admire its inhuman beauty, and be stirred by a language that seems always on the point of revealing its secret, of pointing the way back to the 'republic of dreams' whose insignia blazed on his forehead""--John Ashbery."
The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race;Jon Stewart;9780446579223;Hardcover;Grand Central Publishing;244;8.40 (w) x 10.30 (h) x 0.90 (d);"<p>The eagerly awaited new book from the Emmy-winning, Oscar-hosting, <b>Daily Show-</b>anchoring Jon Stewart—the man behind the megaseller <b>America (The Book)</b>.</p> <p>Where do we come from? Who created us? Why are we here? These questions have puzzled us since the dawn of time, but when it became apparent to Jon Stewart and the writers of <b>The Daily Show</b> that the world was about to end, they embarked on a massive mission to write a book that summed up the human race: What we looked like; what we accomplished; our achievements in society, government, religion, science and culture — all in a tome of approximately 256 pages with lots of color photos, graphs and charts.</p> <p>After two weeks of hard work, they had their book. EARTH (The Book) is the definitive guide to our species. With their trademark wit, irreverence, and intelligence, Stewart and his team will posthumously answer all of life's most hard-hitting questions, completely unburdened by objectivity, journalistic integrity, or even accuracy.</p> <p>Also available as an ebook and as an audiobook.</p>"
The Best American Nonrequired Reading 2010;Dave Eggers;9780547241630;Paperback;Houghton Mifflin Harcourt;484;5.50 (w) x 8.20 (h) x 1.30 (d);"<p>An&nbsp;eclectic volume introduced by David Sedaris and compiled by Dave Eggers and students of his San Francisco writing center, who don’t leave a stone unturned in their search for nonrequired gems.&nbsp;Cover art by art by Maurice Sendak.</p>"
The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race;Jon Stewart;9781607886150;Compact Disc;Hachette Audio;;;
100 Best-Loved Poems;Philip Smith;9780486285535;Paperback;Dover Publications;96;5.22 (w) x 8.28 (h) x 0.28 (d);"Popular, well-known poetry: ""The Passionate Shepherd to His Love,"" ""Shall I compare thee to a summer's day?"" ""Death, be not proud,"" ""The Raven,"" ""The Road Not Taken,"" plus works by Blake, Wordsworth, Byron, Coleridge, Shelley, Emerson, Browning, Keats, Kipling, Sandburg, Pound, Auden, Thomas, and many others. Includes 13 selections from the Common Core State Standards Initiative."
The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback;Wayne Franklin;9780393930573;Paperback;Norton, W. W. & Company, Inc.;3008;6.00 (w) x 9.20 (h) x 2.50 (d);Under Nina Baym's direction, the editors have considered afresh each selection and the entire apparatus to make the Shorter Edition an even better teaching tool for the one-semester and brief two-semester courses.<br>
The Best American Poetry 2009;David Wagoner;9781615521647;Paperback;Simon & Schuster Adult Publishing Group;;;
The Oxford Book of American Short Stories;Joyce Carol Oates;9780195092622;Paperback;Oxford University Press, USA;;;
The Best American Essays 2009;Mary Oliver;9780618982721;Paperback;Houghton Mifflin Harcourt;224;5.40 (w) x 8.40 (h) x 0.60 (d);"<p>Edited by award-winning poet and essayist Mary Oliver, the latest edition of this ""rich and thoughtful collection"" (<i>Publishers Weekly</i>) offers the finest essays ""judiciously selected from countless publications"" (<i>Chicago Tribune</i>).</p>"
The Norton Anthology of American Literature, Package 2: Volumes C, D, and E;Jerome Klinkowitz;9780393929942;Paperback;Norton, W. W. & Company, Inc.;2870;6.00 (w) x 9.20 (h) x 3.70 (d);<p><b>Firmly grounded in the core strengths that have made it the best-selling undergraduate survey in the field,</b> The Norton Anthology of American Literature has been revitalized in this Seventh Edition through the collaboration between three new period editors and five seasoned ones.</p> <p>Under Nina Baym’s direction, the editors have considered afresh each selection and all the apparatus to make the anthology an even better teaching tool.</p>
"Early African American Classics (Barnes &amp; Noble Classics Series)";"Barnes &amp; Noble";9781400500284;Paperback;Barnes & Noble;;11.10 (w) x 14.10 (h) x 6.30 (d);"Culled from the annals of early African American history, these personal narratives recount the stories of men and women who survived the cruel injustice of slavery to become prominent leaders in the struggle for freedom and equality. <ul> <li><i>Incidents in the Life of a Slave Girl</i> by Harriet Jacobs</li> <li><i>Narrative of Sojourner Truth</i> by Sojourner Truth</li> <li><i>Narrative of the Life of Frederick Douglass, an American Slave</i> by Frederick Douglass,</li> <li><i>The Souls of Black Folk</i> by W.E.B. Du Bois</li> <li><i>My Bondage and My Freedom</i> by Frederick Douglass</li> <li><i>Great Escapes: Four Slave Narratives</i></li> </ul> The <a href=""http://www.barnesandnoble.com/classics/index.asp?z=y&amp;cds2Pid=16447&amp;sLinkPrefix""><i>Barnes &amp; Noble Classics</i></a> series offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of <i>Barnes &amp; Noble Classics</i>: <ul> <li>New introductions commissioned from today's top writers and scholars</li> <li>Biographies of the authors</li> <li>Chronologies of contemporary historical, biographical, and cultural events</li> <li>Footnotes and endnotes</li> <li>Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work</li> <li>Comments by other famous authors</li> <li>Study questions to challenge the reader's viewpoints and expectations</li> <li>Bibliographies for further reading</li> <li>Indices &amp; Glossaries, when appropriate</li> </ul> All editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest. <i>Barnes &amp; Noble Classics</i> pulls together a constellation of influences—biographical, historical, and literary—to enrich each reader's understanding of these enduring works."
African-American Poetry: An Anthology, 1773-1930;Joan R. Sherman;9780486296043;Paperback;Dover Publications;96;5.29 (w) x 8.21 (h) x 0.25 (d);Rich selection of 74 poems ranging from the religious and moral verse of Phillis Wheatley Peters (ca. 1753–1784) to 20th-century work of Langston Hughes and Countee Cullen. Other contributors include James Weldon Johnson, Paul Laurence Dunbar, many others. Indispensable for students of the black experience in America and any lover of fine poetry. Includes 4 selections from the Common Core State Standards Initiative.
Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters;Wally Lamb;9780060595371;Paperback;HarperCollins Publishers;368;6.00 (w) x 9.00 (h) x 0.92 (d);<p>In a stunning work of insight and hope, <em>New York Times</em> bestselling author Wally Lamb once again reveals his unmatched talent for finding humanity in the lost and lonely and celebrates the transforming power of the written word.</p> <p>For several years, Lamb has taught writing to a group of women prisoners at York Correctional Institution in Connecticut. In this unforgettable collection, the women of York describe in their own words how they were imprisoned by abuse, rejection, and their own self-destructive impulses long before they entered the criminal justice system. Yet these are powerful stories of hope and healing, told by writers who have left victimhood behind.</p> <p>In his moving introduction, Lamb describes the incredible journey of expression and self-awareness the women took through their writing and shares how they challenged him as a teacher and as a fellow author. <em>Couldn't Keep It to Myself</em> is a true testament to the process of finding oneself and working toward a better day.</p>
The Norton Anthology of Poetry, Shorter 5th Edition;Margaret Ferguson;9780393979213;Paperback;Norton, W. W. & Company, Inc.;1424;9.16 (w) x 5.86 (h) x 1.50 (d);<p><b>Offering over one thousand years of verse from the medieval period to the present,</b> The Norton Anthology of Poetry is the classroom standard for the study of poetry in English.</p> <p>The Fifth Edition retains the flexibility and breadth of selection that has defined this classic anthology, while improved and expanded editorial apparatus make it an even more useful teaching tool.</p>
The Best American Poetry 2010;Amy Gerstler;9781439181454;Paperback;Simon & Schuster Adult Publishing Group;229;5.40 (w) x 8.30 (h) x 0.70 (d);<p>AMY GERSTLER’S COMMITMENT TO INNOVATIVE POETRY that conveys meaning, feeling, wit, and humor informs the cross section of poems in the 2010 edition of <i>The Best American Poetry.</i> The works collected here represent the wealth, the breadth, and the tremendous energy of poetry in the United States today. Featuring poems from some of our country’s top bards, including John Ashbery, Anne Carson, Louise Glück, Sharon Olds, and Charles Simic, <i>The Best American Poetry 2010</i> also presents poems that poignantly capture the current moment, such as the sonnets John Updike wrote to chronicle his dying weeks. And there are exciting poems from a constellation of rising stars: Bob Hicok, Terrance Hayes, Denise Duhamel, Dean Young, and Elaine Equi, to name a very few.</p> <p>The anthology’s mainstays are in place: It opens with series editor David Lehman’s incisive foreword about the state of American poetry and has a marvelous introduction by Amy Gerstler. Notes from the poets, illuminating their poems and their writing processes, conclude this delightful addition to a classic series.</p> <p>Dick Allen • John Ashbery • Sandra Beasley • Mark Bibbins • Todd Boss • Fleda Brown • Anne Carson • Tom Clark • David Clewell • Michael Collier • Billy Collins • Dennis Cooper • Kate Daniels • Peter Davis • Tim Dlugos • Denise Duhamel • Thomas Sayers Ellis • Lynn Emanuel • Elaine Equi • Jill Alexander Essbaum • B. H. Fairchild • Vievee Francis • Louise Glück • Albert Goldbarth • Amy Glynn Greacen • Sonia Greenfield • Kelle Groom • Gabriel Gudding • Kimiko Hahn • Barbara Hamby • Terrance Hayes • Bob Hicok • Rodney Jones • Michaela Kahn • Brigit Pegeen Kelly • Corinne Lee • Hailey Leithauser • Dolly Lemke • Maurice Manning • Adrian Matejka • Shane McCrae • Jeffrey McDaniel • W. S. Merwin • Sarah Murphy • Eileen Myles • Camille Norton • Alice Notley • Sharon Olds • Gregory Pardlo • Lucia Perillo • Carl Phillips • Adrienne Rich • James Richardson • J. Allyn Rosser • James Schuyler • Tim Seibles • David Shapiro • Charles Simic • Frank Stanford • Gerald Stern • Stephen Campbell Sutherland • James Tate • David Trinidad • Chase Twichell • John Updike • Derek Walcott • G. C. Waldrep • J. E. Wei • Dara Wier • Terence Winch • Catherine Wing • Mark Wunderlich • Matthew Yeager • Dean Young • Kevin Young</p>
Classic Slave Narratives: The Life of Olaudah Equiano, The History of Mary Prince, Narrative of the Life of Frederick Douglass, Incidents in the Life of a Slave Girl;Henry Louis Gates Jr.;9780451528247;Mass Market Paperback;Penguin Group (USA);688;4.36 (w) x 7.08 (h) x 1.48 (d);"<p>No group of slaves anywhere, in any era, has left such prolific testimony to the horror of bondage as African-American slaves. Here are four of the most notable narratives: <i>The Life of Olaudah Equiano; The History of Mary Prince; Narrative of the Life of Frederick Douglass;</i> and <i>Incidents in the Life of Slave Girl</i>.</p> <p>Along with the writings of Frederick Douglas and Olaudah Equiano, this anthology includes the writings of women slaves Harriet Jacobs and Mary Prince. </p>"
The Best American Nonrequired Reading 2009;Dave Eggers;9780547241609;Paperback;Houghton Mifflin Harcourt;432;5.40 (w) x 8.10 (h) x 1.20 (d);"<p>This ""great volume"" highlights the ""very best of this year's fiction, nonfiction, alternative comics, screenplys, blogs and more"" (<i>OK!).</i> Compiled by Dave Eggers and students from his San Francisco writing center, it is ""both uproarious and illuminating"" (<i>Publishers Weekly).</i></p>"
In Fact: The Best of Creative Nonfiction;Lee Gutkind;9780393326659;Paperback;Norton, W. W. & Company, Inc.;480;5.50 (w) x 8.50 (h) x 1.20 (d);"<p class=""null1"">Twenty-five arresting selections from the groundbreaking journal that defined a genre.</p> <p>Creative nonfiction, also known as narrative nonfiction, liberated journalism by inviting writers to dramatize, interpret, speculate, and even re-create their subjects. Lee Gutkind collects twenty-five essays that flourished on this new ground, all originally published in the journal he founded, <b>Creative Nonfiction</b>, now celebrating its tenth anniversary. Lauren Slater is a therapist in the institution where she was once a patient. John Edgar Wideman reacts passionately to the unjust murder of Emmett Till. Charles Simic tells of wild nights with Uncle Boris. John McPhee creates a rare, personal, album quilt. Terry Tempest Williams speaks on the decline of the prairie dog. Madison Smartt Bell invades Haiti. Many of the writers are crossing genres—from poetry and fiction to nonfiction—symbolic of <b>Creative Nonfiction's</b> scope and popularity. A cross section of the famous and those bound to become so, this collection is a riveting experience highlighting the expanding importance of this dramatic and exciting new genre.</p>"
